source_id,tweet_id,cluster_id,is_centroid
498430783699554305,498430783699554305_1,0,1
498430783699554305,498430783699554305_2,1_0,1
498430783699554305,498430783699554305_3,1_0,0
498430783699554305,498430783699554305_2,1_1,0
498430783699554305,498430783699554305_3,1_1,1
500378223977721856,500378223977721856_1,0,1
500378223977721856,500378223977721856_4,0,0
500378223977721856,500378223977721856_6,0,0
500378223977721856,500378223977721856_7,0,0
500378223977721856,500378223977721856_2,1,1
500378223977721856,500378223977721856_3,1,0
500378223977721856,500378223977721856_5,1,0
524922729485848576,524922729485848576_1,0,0
524922729485848576,524922729485848576_3,0,0
524922729485848576,524922729485848576_5,0,0
524922729485848576,524922729485848576_6,0,1
524922729485848576,524922729485848576_7,0,0
524922729485848576,524922729485848576_2,1,0
524922729485848576,524922729485848576_4,1,0
524922729485848576,524922729485848576_8,1,0
524922729485848576,524922729485848576_9,1,1
524922729485848576,524922729485848576_10,1,0
524923462398513152,524923462398513152_1,0,1
524923462398513152,524923462398513152_2,0,0
524923462398513152,524923462398513152_3,0,0
524923462398513152,524923462398513152_5,0,0
524923462398513152,524923462398513152_6,0,0
524923462398513152,524923462398513152_7,0,0
524923462398513152,524923462398513152_4,1,1
524923676484177920,524923676484177920_2,0,0
524923676484177920,524923676484177920_3,0,0
524923676484177920,524923676484177920_4,0,0
524923676484177920,524923676484177920_5,0,0
524923676484177920,524923676484177920_6,0,1
524923676484177920,524923676484177920_7,0,0
524923676484177920,524923676484177920_1,1,1
524925050739490816,524925050739490816_1,0,0
524925050739490816,524925050739490816_2,0,1
524925050739490816,524925050739490816_6,0,0
524925050739490816,524925050739490816_7,0,0
524925050739490816,524925050739490816_8,0,0
524925050739490816,524925050739490816_3,1,0
524925050739490816,524925050739490816_4,1,1
524925050739490816,524925050739490816_5,1,0
524925050739490816,524925050739490816_9,1,0
524925215235911680,524925215235911680_1,0_0,1
524925215235911680,524925215235911680_3,0_0,0
524925215235911680,524925215235911680_6,0_0,0
524925215235911680,524925215235911680_10,0_0,0
524925215235911680,524925215235911680_12,0_0,0
524925215235911680,524925215235911680_13,0_0,0
524925215235911680,524925215235911680_14,0_0,0
524925215235911680,524925215235911680_1,0_1,0
524925215235911680,524925215235911680_3,0_1,0
524925215235911680,524925215235911680_6,0_1,0
524925215235911680,524925215235911680_10,0_1,1
524925215235911680,524925215235911680_12,0_1,0
524925215235911680,524925215235911680_13,0_1,0
524925215235911680,524925215235911680_14,0_1,0
524925215235911680,524925215235911680_1,0_2,0
524925215235911680,524925215235911680_3,0_2,0
524925215235911680,524925215235911680_6,0_2,0
524925215235911680,524925215235911680_10,0_2,0
524925215235911680,524925215235911680_12,0_2,1
524925215235911680,524925215235911680_13,0_2,0
524925215235911680,524925215235911680_14,0_2,0
524925215235911680,524925215235911680_1,0_3,0
524925215235911680,524925215235911680_3,0_3,0
524925215235911680,524925215235911680_6,0_3,0
524925215235911680,524925215235911680_10,0_3,0
524925215235911680,524925215235911680_12,0_3,0
524925215235911680,524925215235911680_13,0_3,0
524925215235911680,524925215235911680_14,0_3,1
524925215235911680,524925215235911680_2,1,0
524925215235911680,524925215235911680_4,1,0
524925215235911680,524925215235911680_5,1,0
524925215235911680,524925215235911680_7,1,0
524925215235911680,524925215235911680_8,1,0
524925215235911680,524925215235911680_9,1,1
524925215235911680,524925215235911680_11,1,0
524925215235911680,524925215235911680_15,1,0
524925987239120897,524925987239120897_3,0,1
524925987239120897,524925987239120897_1,1,0
524925987239120897,524925987239120897_2,1,1
524925987239120897,524925987239120897_4,1,0
524926235030589440,524926235030589440_1,0,0
524926235030589440,524926235030589440_2,0,1
524926235030589440,524926235030589440_4,0,0
524926235030589440,524926235030589440_3,1,1
524931324763992064,524931324763992064_2,0_0,1
524931324763992064,524931324763992064_3,0_0,0
524931324763992064,524931324763992064_2,0_1,0
524931324763992064,524931324763992064_3,0_1,1
524931324763992064,524931324763992064_1,1_0,1
524931324763992064,524931324763992064_4,1_0,0
524931324763992064,524931324763992064_1,1_1,0
524931324763992064,524931324763992064_4,1_1,1
524932935137628160,524932935137628160_1,0,1
524932935137628160,524932935137628160_2,0,0
524932935137628160,524932935137628160_3,0,0
524932935137628160,524932935137628160_4,0,0
524932935137628160,524932935137628160_7,0,0
524932935137628160,524932935137628160_8,0,0
524932935137628160,524932935137628160_5,1,0
524932935137628160,524932935137628160_6,1,1
524932935137628160,524932935137628160_9,1,0
524935485370929152,524935485370929152_1,0_0,1
524935485370929152,524935485370929152_2,0_0,0
524935485370929152,524935485370929152_1,0_1,0
524935485370929152,524935485370929152_2,0_1,1
524936872666353664,524936872666353664_1,0_0,0
524936872666353664,524936872666353664_2,0_0,1
524936872666353664,524936872666353664_3,0_0,0
524936872666353664,524936872666353664_4,0_0,0
524936872666353664,524936872666353664_5,0_0,0
524936872666353664,524936872666353664_6,0_0,0
524936872666353664,524936872666353664_7,0_0,0
524936872666353664,524936872666353664_8,0_0,0
524936872666353664,524936872666353664_9,0_0,0
524936872666353664,524936872666353664_10,0_0,0
524936872666353664,524936872666353664_11,0_0,0
524936872666353664,524936872666353664_1,0_1,0
524936872666353664,524936872666353664_2,0_1,0
524936872666353664,524936872666353664_3,0_1,0
524936872666353664,524936872666353664_4,0_1,0
524936872666353664,524936872666353664_5,0_1,0
524936872666353664,524936872666353664_6,0_1,0
524936872666353664,524936872666353664_7,0_1,0
524936872666353664,524936872666353664_8,0_1,0
524936872666353664,524936872666353664_9,0_1,0
524936872666353664,524936872666353664_10,0_1,1
524936872666353664,524936872666353664_11,0_1,0
524936872666353664,524936872666353664_12,1,1
524941132237910016,524941132237910016_1,0_0,1
524941132237910016,524941132237910016_2,0_0,0
524941132237910016,524941132237910016_1,0_1,0
524941132237910016,524941132237910016_2,0_1,1
524942470472548352,524942470472548352_1,0_0,1
524942470472548352,524942470472548352_2,0_0,0
524942470472548352,524942470472548352_1,0_1,0
524942470472548352,524942470472548352_2,0_1,1
524943490887991296,524943490887991296_1,0_0,1
524943490887991296,524943490887991296_2,0_0,0
524943490887991296,524943490887991296_4,0_0,0
524943490887991296,524943490887991296_5,0_0,0
524943490887991296,524943490887991296_6,0_0,0
524943490887991296,524943490887991296_1,0_1,0
524943490887991296,524943490887991296_2,0_1,1
524943490887991296,524943490887991296_4,0_1,0
524943490887991296,524943490887991296_5,0_1,0
524943490887991296,524943490887991296_6,0_1,0
524943490887991296,524943490887991296_1,0_2,0
524943490887991296,524943490887991296_2,0_2,0
524943490887991296,524943490887991296_4,0_2,1
524943490887991296,524943490887991296_5,0_2,0
524943490887991296,524943490887991296_6,0_2,0
524943490887991296,524943490887991296_1,0_3,0
524943490887991296,524943490887991296_2,0_3,0
524943490887991296,524943490887991296_4,0_3,0
524943490887991296,524943490887991296_5,0_3,1
524943490887991296,524943490887991296_6,0_3,0
524943490887991296,524943490887991296_3,1,1
524944399890124801,524944399890124801_1,0,0
524944399890124801,524944399890124801_4,0,1
524944399890124801,524944399890124801_5,0,0
524944399890124801,524944399890124801_2,1,0
524944399890124801,524944399890124801_3,1,0
524944399890124801,524944399890124801_6,1,1
524947674164760577,524947674164760577_1,0,0
524947674164760577,524947674164760577_6,0,0
524947674164760577,524947674164760577_7,0,0
524947674164760577,524947674164760577_9,0,1
524947674164760577,524947674164760577_10,0,0
524947674164760577,524947674164760577_2,1,0
524947674164760577,524947674164760577_3,1,0
524947674164760577,524947674164760577_4,1,1
524947674164760577,524947674164760577_5,1,0
524947674164760577,524947674164760577_8,1,0
524952883343925249,524952883343925249_1,0,0
524952883343925249,524952883343925249_3,0,0
524952883343925249,524952883343925249_6,0,1
524952883343925249,524952883343925249_7,0,0
524952883343925249,524952883343925249_9,0,0
524952883343925249,524952883343925249_10,0,0
524952883343925249,524952883343925249_11,0,0
524952883343925249,524952883343925249_12,0,0
524952883343925249,524952883343925249_2,1,0
524952883343925249,524952883343925249_4,1,1
524952883343925249,524952883343925249_5,1,0
524952883343925249,524952883343925249_8,1,0
524959809402331137,524959809402331137_4,0,0
524959809402331137,524959809402331137_5,0,0
524959809402331137,524959809402331137_6,0,1
524959809402331137,524959809402331137_1,1,0
524959809402331137,524959809402331137_2,1,0
524959809402331137,524959809402331137_3,1,0
524959809402331137,524959809402331137_7,1,0
524959809402331137,524959809402331137_8,1,0
524959809402331137,524959809402331137_9,1,1
524959809402331137,524959809402331137_10,1,0
524959809402331137,524959809402331137_11,1,0
524959809402331137,524959809402331137_12,1,0
524962142563610625,524962142563610625_2,0,1
524962142563610625,524962142563610625_3,0,0
524962142563610625,524962142563610625_4,0,0
524962142563610625,524962142563610625_1,1,1
524965775036387329,524965775036387329_2,0,1
524965775036387329,524965775036387329_1,1_0,1
524965775036387329,524965775036387329_3,1_0,0
524965775036387329,524965775036387329_1,1_1,0
524965775036387329,524965775036387329_3,1_1,1
524966904885428226,524966904885428226_4,0,1
524966904885428226,524966904885428226_1,1,1
524966904885428226,524966904885428226_2,1,0
524966904885428226,524966904885428226_3,1,0
