source_id,tweet_ids,label_veracity
576323086888361984,"576323086888361984,576323996028952576,576324320735178752,576327374628917248,576348301940932608,576435146632605696",unverified
576755174531862529,"576755174531862529,576755963597746176,576756436321071104,576756801045139457,576757065089159169,576758668026245120",unverified
576276947648405505,"576276947648405505,576278902185705472,576279839205818368,576281472778182656",unverified
577258317942149120,"577258317942149120,577260238316830721,577282462788677634,577283431089901568,577284294051123201,577287160329465856",unverified
576829262927413248,"576829262927413248,576830316372996096,576830686713217024,576833135326961664,576846509632798720,576847084579618816,576848493337296896,576893187962224640",unverified
529695483661664257,"529695483661664257,529701933301653505,529702311111983104,529702566104678401,529703489107423233,529705003758665729,529708506111549440",false
529720273285566464,"529720273285566464,529720506602516480,529720542925176832,529721009172410369,529721182468444160,529721379302952961,529721493962641408,529722000076718082,529722084600320001,529722212706971648,529722570460123136,529722617318899712,529722739196985345,529723119913951232,529723588413489152,529723695989002241,529723713701543938,529723719552618496",false
529660296080916480,"529660296080916480,529661317087768576,529661510369284096,529661727940431872,529666750330449920",false
529653029747064832,"529653029747064832,529656160736251904,529670625229422593,529677185171607553,529697018575585280,529751327174586370,529880720458911745",false
529689679411810304,"529689679411810304,529689790254698496,529690091221180416,529693591132983297,529694204361203713,529695331387461632",false
529695367680761856,"529695367680761856,529695587390980097,529695704982491137,529696091638620160,529696619244306432,529696892851347458,529697981751373824,529698240405729281,529701086815592449",false
529713467184676864,"529713467184676864,529714660690644992,529714853955399680,529715169942065152,529736871707152385,529739950993203201",false
529540733020405760,"529540733020405760,529541029910044672,529542083405955072,529542544573865985,529546994520694784,529547352907218944,529548830287876096,529550101925343233,529550553773506560,529574549340553216,529590746018754560,529657666843721729,529658081840746496,529660640575897600,529661580649459712",false
529654186791944192,"529654186791944192,529654334456598529,529654399455727617,529655164828139522,529655597114085376,529655944066912257,529658952519540736,529664081100562432,529671977662185473,529680436121702400,529680820324560897",false
529739968470867968,"529739968470867968,529740809672077313,529740822238232577,529741502323621890,529741574742507520,529743000247992320,529745508148203523,529746860714758145,529748991849013248,529827763855704064",false
552806309540528128,"552806309540528128,552806614973960192,552806751746396160,552806767625641984,552807393453547522,552807638233120769,552807952315207680,552808046938697729,552808109551263744,552808138831708160,552808156468768769,552808280074878979,552808387415900160,552808399885185024,552808549349199872,552808639283486722,552808821434089472,552809081233080320,552810655657787392,552811106046324736,552811152456318976,552811900686176257,552812099294863362,552812220438945793,552812407064899585,552812425758912512,552812983370268672,552813608694857730,552814267020636160,552814555764506624,552814637696450560,552814686149017600,552817422366154752,552827794976022528,553219824059310080,553221961740857344,553224135334051840,553225926436089856,553226523650437120",false
553501357156876290,"553501357156876290,553501672035856384,553501710497628162,553501723743223808,553501889254678528,553502087661645824,553502133979713536,553502135204478976,553502186999529473,553502205748080640,553502599358722048,553502788819632129,553503274176110592,553503283986563073,553503331356651521,553503365100228609,553503523539652608,553503611104542720,553503876394262528,553504019742990336,553504747508879360",unverified
553164985460068352,"553164985460068352,553165237680353280,553165585115516928,553165669043548160,553165727231139840,553166958397771776,553166961514127360,553167053742694400,553170739592179713,553187846035873793,553188194339258368,553188299758911488,553189559149035520,553301531340972032",unverified
552816020403269632,"552816020403269632,552817849845436416,552817939196678144,552830099046035456,552831971370344449",unverified
553107921081749504,"553107921081749504,553109367042887680,553111518230106112,553115272031113216,553116396469510144,553132986087268352",true
553534838880608256,"553534838880608256,553535353790152705,553535415073132544,553535440821575682,553535581586993152,553539103879200769",true
552783667052167168,"552783667052167168,552785374507175936,552786226546495488,552789345628069888,552792862610694144,552943855021330432",true
552984502063337472,"552984502063337472,552989544589430784,553091815218237440",true
553503184174710784,"553503184174710784,553503409807327232,553503712157904898,553503810073952257,553503820425093120,553504209635536896,553504306998300672,553504624830066688,553504854794969088,553504861321703424,553505371260588032,553505863827079168,553506057432342528,553506283958333440,553507708574244864,553507716329529344",unverified
552792544132997121,"552792544132997121,552792742842363905,552794125167493120,552795993553764354,552798917541511169,552798994456674304,552800910670569472,552805237510385664,552805439474515968,552805557896482816,552805909425307648,552806009157464064,552806259767123968,552806438629048320,552806489363337217,552806661149425664,552808594228670465,552816964436230144",true
553184482241814530,"553184482241814530,553184702530453505,553184777315287040,553184841873633280,553184912258654208,553185239791857664,553185273639895040,553185403650322432,553185449150541824,553186074311528448,553187655434108928,553187777689694208,553187813668425728,553188394113986561,553188436178264066,553189048052105216,553192939888058369,553195335661912064,553195879692517376,553196247319064576,553197339813220352,553197749240221699,553198944998543360,553199295588212736,553199414659907584,553200322231808001,553498348674875393,553549483984711681,553549691129192448",unverified
